# x (m),channel 1, channel 2
-7.500000000000000156e-04,5.119049573724107072e-01,5.097749359932970403e-01
-7.489993328885924265e-04,5.133122371228636682e-01,5.111829557517937328e-01
-7.479986657771848374e-04,5.147127301354174067e-01,5.125818868998961442e-01
-7.469979986657772483e-04,5.161064950708214027e-01,5.139718517087296101e-01
-7.459973315543695508e-04,5.174935905898248034e-01,5.153529724494190223e-01
-7.449966644429619617e-04,5.188740753531771999e-01,5.167253713930892722e-01
-7.439959973315543726e-04,5.202480080216277392e-01,5.180891708108655846e-01
-7.429953302201467834e-04,5.216154472559260125e-01,5.194444929738728511e-01
-7.419946631087391943e-04,5.229764517168210558e-01,5.207914601532361853e-01
-7.409939959973316052e-04,5.243310800650623493e-01,5.221301946200804789e-01
-7.399933288859240161e-04,5.256793909613993732e-01,5.234608186455308454e-01
-7.389926617745163186e-04,5.270214430665812744e-01,5.247834545007122875e-01
-7.379919946631087295e-04,5.283572950413575331e-01,5.260982244567498078e-01
-7.369913275517011404e-04,5.296870055464775184e-01,5.274052507847685201e-01
-7.359906604402935513e-04,5.310106332426903775e-01,5.287046557558932047e-01
-7.349899933288859622e-04,5.323282367907457013e-01,5.299965616412490865e-01
-7.339893262174783731e-04,5.336398748513926371e-01,5.312810907119611681e-01
-7.329886591060706755e-04,5.349456060853805539e-01,5.325583652391544520e-01
-7.319879919946630864e-04,5.362454891534590429e-01,5.338285074939538299e-01
-7.309873248832554973e-04,5.375395827163772511e-01,5.350916397474845265e-01
-7.299866577718479082e-04,5.388279454348844366e-01,5.363478842708714334e-01
-7.289859906604403191e-04,5.401106359697301906e-01,5.375973633352396641e-01
-7.279853235490327300e-04,5.413877129816635492e-01,5.388401992117139994e-01
-7.269846564376251409e-04,5.426592351314342144e-01,5.400765141714196638e-01
-7.259839893262174434e-04,5.439252610797911114e-01,5.413064304854817710e-01
-7.249833222148098543e-04,5.451858494874840533e-01,5.425300704250251016e-01
-7.239826551034022652e-04,5.464410590152621872e-01,5.437475562611748803e-01
-7.229819879919946761e-04,5.476909483238747711e-01,5.449590102650558876e-01
-7.219813208805870870e-04,5.489355760740711743e-01,5.461645547077933482e-01
-7.209806537691794978e-04,5.501750009266008767e-01,5.473643118605121538e-01
-7.199799866577719087e-04,5.514092815422130256e-01,5.485584039943374179e-01
-7.189793195463642112e-04,5.526384765816572120e-01,5.497469533803942543e-01
