amplitude (rad),frequency (Hz),phase (rad)
1.361356816555576998e-01,7.919334467522222440e+03,-1.324182235194388269e-01
1.411777439390968780e-01,7.920111530662698897e+03,-1.236682977136347172e-01
1.462198062226360562e-01,7.920407406964690381e+03,-1.149713749317490402e-01
1.512618685061752344e-01,7.920590861374005726e+03,-1.075065959294725232e-01
1.563039307897143848e-01,7.920728950943735072e+03,-1.001026041581941639e-01
1.613459930732535630e-01,7.920839426066394481e+03,-9.251288127285785257e-02
1.663880553567927412e-01,7.920932148637288265e+03,-8.603366759054460744e-02
1.714301176403319193e-01,7.921007117409376406e+03,-7.955411908593643111e-02
1.764721799238710975e-01,7.921066304284450780e+03,-7.245712852366745227e-02
1.815142422074102480e-01,7.921107735623344524e+03,-6.579190642666989108e-02
1.865563044909494539e-01,7.921145221493882673e+03,-5.764533984978912479e-02
1.915983667744886043e-01,7.921172842888666310e+03,-5.036270288987979710e-02
1.966404290580277825e-01,7.921196518523247505e+03,-4.258623405476734403e-02
2.016824913415669607e-01,7.921208356393634858e+03,-3.431591594160390141e-02
2.067245536251061389e-01,7.921210329375436231e+03,-2.678617180853153090e-02
2.117666159086453170e-01,7.921212302358262605e+03,-1.962673838564179055e-02
2.168086781921844675e-01,7.921204410432848817e+03,-1.172665648628459616e-02
2.218507404757236734e-01,7.921194545548283713e+03,-5.184410019547023261e-03
2.268928027592628238e-01,7.921178761784032758e+03,-2.468761676417031850e-04
2.319348650428020020e-01,7.921155086255638707e+03,3.085942843847901216e-03
2.369769273263411802e-01,7.921129437926197170e+03,5.369523299868078463e-03
2.420189896098803306e-01,7.921099843906332353e+03,6.912464049951421580e-03
2.470610518934195365e-01,7.921062358465279431e+03,7.714766946708309474e-03
2.521031141769586870e-01,7.921018954713622406e+03,8.208467234711944865e-03
2.571451764604978374e-01,7.920967659984000420e+03,8.393566190145787878e-03
2.621872387440370433e-01,7.920910447415486487e+03,8.146637665161000907e-03
2.672293010275762493e-01,7.920837453269310572e+03,8.023129479150396814e-03
2.722713633111153997e-01,7.920756569435479832e+03,7.529321944234025447e-03
2.773134255946545501e-01,7.920669769109955269e+03,6.788658240243023757e-03
2.823554878781937560e-01,7.920571134685628749e+03,6.048002331078075784e-03
2.873975501617329065e-01,7.920468557490132298e+03,5.307361625032635047e-03
2.924396124452720569e-01,7.920369928077002442e+03,4.443317150486882083e-03
2.974816747288112628e-01,7.920259466050417359e+03,3.085593925952340166e-03
3.025237370123504688e-01,7.920174649085547571e+03,2.098181466213324634e-03
3.075657992958896192e-01,7.920074054575178707e+03,1.110787791460020801e-03
3.126078615794287696e-01,7.919949794296059736e+03,0.000000000000000000e+00
3.176499238629679756e-01,7.919829482503118925e+03,-9.873364608051255105e-04
3.226919861465071260e-01,7.919717063311618404e+03,-1.974644891823269539e-03
3.277340484300462764e-01,7.919594786411174027e+03,-3.085334978443568694e-03
3.327761107135854823e-01,7.919484346004522195e+03,-4.381114626925503887e-03
3.378181729971246883e-01,7.919360104228820092e+03,-5.923667520841819842e-03
3.428602352806638387e-01,7.919247698362193660e+03,-7.157663225186149981e-03
3.479022975642029891e-01,7.919131351790795634e+03,-8.515026245572350841e-03
3.529443598477421951e-01,7.918995289798410340e+03,-9.995728605325533353e-03
3.579864221312813455e-01,7.918871063366854287e+03,-1.147639723065911610e-02
3.630284844148204959e-01,7.918746840832710404e+03,-1.283361946817333787e-02
3.680705466983597018e-01,7.918616707119959756e+03,-1.449928358880579402e-02
3.731126089818989078e-01,7.918488549310408416e+03,-1.591810517225278332e-02
3.781546712654380027e-01,7.918372225044076913e+03,-1.733690553223102629e-02
3.831967335489772086e-01,7.918246046653374833e+03,-1.881733842179789118e-02
3.882387958325164146e-01,7.918129729511712867e+03,-1.998927210877872798e-02
3.932808581160556205e-01,7.918011444397724517e+03,-2.146963877941458418e-02
3.983229203995947154e-01,7.917891191487995457e+03,-2.264148631152058944e-02
4.033649826831339213e-01,7.917784741140309961e+03,-2.387503491839097422e-02
4.084070449666731273e-01,7.917668437551134957e+03,-2.529359229634646142e-02
4.134491072502122222e-01,7.917563964358722842e+03,-2.640369505002465242e-02
4.184911695337514281e-01,7.917457522809508191e+03,-2.751376165883280545e-02
4.235332318172906341e-01,7.917356997307557322e+03,-2.850044092469892348e-02
4.285752941008297290e-01,7.917262387402254717e+03,-2.948711476137088477e-02
4.336173563843689349e-01,7.917161866855358312e+03,-3.059712048898302963e-02
4.386594186679081409e-01,7.917075145297269955e+03,-3.146040431955083455e-02
4.437014809514473468e-01,7.916988425638945955e+03,-3.232366923816488297e-02
4.487435432349864417e-01,7.916897766209229303e+03,-3.355701387697811872e-02
4.537856055185257032e-01,7.916818933610277782e+03,-3.442027076397625313e-02
