amplitude (rad),frequency (Hz),phase (rad)
1.134464013796314258e-01,7.923418430193873064e+03,-6.199782756327477246e-04
1.361356816555576998e-01,7.923335000507302539e+03,1.216695782564384404e-02
1.588249619314839878e-01,7.923248881381488900e+03,9.609480488212479229e-03
1.815142422074102757e-01,7.923150654037901404e+03,7.439495458434062375e-03
2.042035224833365636e-01,7.923048392543034424e+03,5.502056309294701790e-03
2.268928027592628516e-01,7.922936715246623862e+03,9.454119582891816823e-03
2.495820830351891395e-01,7.922798132132353203e+03,6.974230889453085502e-03
2.722713633111153997e-01,7.922658208473575542e+03,0.000000000000000000e+00
2.949606435870417154e-01,7.922455058876157636e+03,-7.438863799215349702e-03
3.176499238629679756e-01,7.922144300510184621e+03,-1.487700002472104946e-02
3.403392041388942912e-01,7.921735374264446364e+03,-2.091992518275826579e-02
3.630284844148205514e-01,7.921287487068997507e+03,-2.773699014040421212e-02
3.857177646907468116e-01,7.920888062830124909e+03,-3.439784079749012846e-02
4.084070449666731273e-01,7.920563980525290390e+03,-3.997423342642961175e-02
4.310963252425993875e-01,7.920289674301289779e+03,-4.446675914087001857e-02
4.537856055185257032e-01,7.920031521109454843e+03,-4.833708471347987479e-02
